Name,Location,Price,Area,Rooms,Interior
Flat Populierenweg,1092 EV Amsterdam (Oosterparkbuurt),"€3,250 per month",84 m²,3 rooms,Furnished
Flat Plantage Middenlaan 42 B,1018 DH Amsterdam (Weesperbuurt/Plantage),"€2,050 per month",58 m²,2 rooms,Upholstered
Flat Gustav Mahlerlaan 162,1082 ME Amsterdam (Zuidas),"€3,500 per month",104 m²,3 rooms,Upholstered
Flat Eerste Weteringdwarsstraat,1017 TM Amsterdam (De Weteringschans),"€3,550 per month",90 m²,4 rooms,Furnished
Flat Titus van Rijnstraat,1058 GB Amsterdam (Westlandgracht),"€3,150 per month",85 m²,3 rooms,Furnished
House Scheepsbouwweg,1033 DC Amsterdam (Tuindorp Oostzaan),"€3,450 per month",132 m²,6 rooms,Furnished
Flat Van Eeghenstraat,1071 GE Amsterdam (Museumkwartier),"€4,800 per month",130 m²,4 rooms,Upholstered
Flat Curaçaostraat,1058 BL Amsterdam (Westindische Buurt),"€2,350 per month",58 m²,3 rooms,Upholstered
Flat Keizersgracht,1017 DN Amsterdam (Grachtengordel-Zuid),"€5,500 per month",120 m²,4 rooms,Furnished
Flat Looiersgracht 52 E,1016 VT Amsterdam (Jordaan),"€2,900 per month",66 m²,3 rooms,Upholstered or furnished
Flat Nieuwe Achtergracht 105 2,1018 WR Amsterdam (Weesperbuurt/Plantage),"€2,450 per month",55 m²,3 rooms,Upholstered
Flat Vrolikstraat,1092 TE Amsterdam (Oosterparkbuurt),"€1,700 per month",35 m²,2 rooms,Furnished
Flat Nieuwezijds Voorburgwal 159 B,1012 RK Amsterdam (Burgwallen-Nieuwe Zijde),"€4,000 per month",134 m²,4 rooms,Upholstered or furnished
Flat Carnapstraat 58 A,1062 KT Amsterdam (Westlandgracht),"€2,455 per month",92 m²,3 rooms,Upholstered
Flat Rosy Wertheimstraat,1082 MZ Amsterdam (Zuidas),"€2,950 per month",72 m²,2 rooms,Furnished
Flat Carnapstraat 66,1062 KT Amsterdam (Westlandgracht),"€2,255 per month",73 m²,2 rooms,Upholstered
Flat Newtonstraat,1098 GX Amsterdam (Middenmeer),"€2,850 per month",80 m²,5 rooms,
Flat Singel,1015 AB Amsterdam (Grachtengordel-West),"€2,950 per month",102 m²,2 rooms,Furnished
